Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-05-15,170.96311950683594,111.19999694824219,116.22222137451172,305.8369445800781,166.35000610351562
2023-05-16,170.96311950683594,113.4000015258789,119.21480560302734,308.09027099609375,166.52000427246094
2023-05-17,171.57913208007812,115.5,120.54151916503906,311.002197265625,173.86000061035156
2023-05-18,173.92393493652344,118.1500015258789,122.52660369873047,315.4790344238281,176.88999938964844
2023-05-19,174.0332489013672,116.25,122.45677947998047,315.30078125,180.13999938964844
2023-05-22,173.07940673828125,115.01000213623047,124.74111938476562,318.1136779785156,188.8699951171875
2023-05-23,170.45640563964844,114.98999786376953,122.25727081298828,312.25018310546875,185.77000427246094
2023-05-24,170.73460388183594,116.75,120.60137176513672,310.8536071777344,182.89999389648438
2023-05-25,171.87722778320312,115.0,123.17500305175781,322.80841064453125,184.47000122070312
2023-05-26,174.30149841308594,120.11000061035156,124.30220794677734,329.71185302734375,193.1699981689453
2023-05-30,176.1594696044922,121.66000366210938,123.3645248413086,328.0478820800781,201.16000366210938
2023-05-31,176.1098175048828,120.58000183105469,122.5665054321289,325.25482177734375,203.92999267578125
2023-06-01,178.9315185546875,122.7699966430664,123.4144058227539,329.40478515625,207.52000427246094
2023-06-02,179.78598022460938,124.25,124.36205291748047,332.1979064941406,213.97000122070312
2023-06-05,178.42481994628906,125.30000305175781,125.6987533569336,332.73272705078125,217.61000061035156
2023-06-06,178.0572052001953,126.61000061035156,126.99553680419922,330.49432373046875,221.30999755859375
2023-06-07,176.6761474609375,121.2300033569336,122.19741821289062,320.2926330566406,224.57000732421875
2023-06-08,179.408447265625,124.25,121.83831024169922,322.1546936035156,234.86000061035156
2023-06-09,179.79592895507812,123.43000030517578,121.92808532714844,323.67010498046875,244.39999389648438
2023-06-12,182.6077117919922,126.56999969482422,123.33460235595703,328.6817626953125,249.8300018310547
2023-06-13,182.1308135986328,126.66000366210938,123.52413177490234,331.0985412597656,258.7099914550781
2023-06-14,182.76669311523438,126.41999816894531,123.3645248413086,334.1193542480469,256.7900085449219
2023-06-15,184.81344604492188,127.11000061035156,124.78101348876953,344.7766418457031,255.89999389648438
2023-06-16,183.73045349121094,125.48999786376953,123.22486877441406,339.06170654296875,260.5400085449219
2023-06-20,183.81988525390625,125.77999877929688,122.79593658447266,334.82257080078125,274.45001220703125
2023-06-21,182.77664184570312,124.83000183105469,120.25223541259766,330.3754577636719,259.4599914550781
2023-06-22,185.7970733642578,130.14999389648438,122.84580993652344,336.4667663574219,264.6099853515625
2023-06-23,185.4791259765625,129.3300018310547,122.03781127929688,331.8215026855469,256.6000061035156
2023-06-26,184.07821655273438,127.33000183105469,118.04769134521484,325.46282958984375,241.0500030517578
2023-06-27,186.85025024414062,129.17999267578125,118.03772735595703,331.3758239746094,250.2100067138672
2023-06-28,188.03260803222656,129.0399932861328,119.88314819335938,332.6436462402344,256.239990234375
2023-06-29,188.37039184570312,127.9000015258789,118.80581665039062,331.8512268066406,257.5
2023-06-30,192.72222900390625,130.36000061035156,119.40433502197266,337.2888488769531,261.7699890136719
2023-07-03,191.22195434570312,130.22000122070312,119.60384368896484,334.76312255859375,279.82000732421875
2023-07-05,190.0992431640625,130.3800048828125,121.44927215576172,334.921630859375,282.4800109863281
