Date,KO,PEP,PG,V,WMT
2023-05-11,60.99208450317383,186.81729125976562,149.6322784423828,228.77532958984375,50.18178176879883
2023-05-12,61.230857849121094,187.56329345703125,151.15391540527344,229.14175415039062,50.165401458740234
2023-05-15,61.0684928894043,185.79400634765625,151.20236206054688,230.5579071044922,49.77539825439453
2023-05-16,60.380821228027344,184.9906463623047,150.94068908691406,228.24057006835938,49.0871696472168
2023-05-17,60.31397247314453,183.68043518066406,150.30104064941406,230.39947509765625,49.0052375793457
2023-05-18,59.97968673706055,183.20225524902344,147.82962036132812,231.3402862548828,49.641029357910156
2023-05-19,60.00834274291992,183.4700164794922,148.44989013671875,231.0531005859375,49.12976837158203
2023-05-22,58.74761199951172,178.4969024658203,144.56344604492188,229.04270935058594,48.69717025756836
2023-05-23,58.64256286621094,177.9517822265625,143.00308227539062,222.40753173828125,48.60540771484375
2023-05-24,58.14591598510742,176.82325744628906,141.82064819335938,220.10008239746094,48.3825569152832
2023-05-25,57.697021484375,175.78082275390625,140.90963745117188,221.21914672851562,47.900794982910156
2023-05-26,57.55375671386719,175.57040405273438,140.91932678222656,222.8333740234375,47.986000061035156
2023-05-30,57.09531021118164,173.68634033203125,138.76771545410156,219.49598693847656,47.868019104003906
2023-05-31,56.9807014465332,174.39407348632812,138.10867309570312,218.8918914794922,48.133480072021484
2023-06-01,57.30543899536133,175.458251953125,139.52369689941406,224.3089599609375,48.31045150756836
2023-06-02,58.4133415222168,177.2591552734375,142.00482177734375,226.57679748535156,48.77254867553711
2023-06-05,58.021751403808594,177.38436889648438,141.44268798828125,224.57635498046875,49.093727111816406
2023-06-06,57.60151672363281,174.8515167236328,140.03738403320312,226.01231384277344,49.0871696472168
2023-06-07,57.51555633544922,173.45509338378906,140.3378143310547,223.0908660888672,49.15926742553711
2023-06-08,57.658817291259766,175.37158203125,141.92727661132812,220.892333984375,49.87043762207031
2023-06-09,57.754329681396484,175.61236572265625,142.0435791015625,221.3973846435547,50.17195129394531
2023-06-12,57.506004333496094,175.178955078125,140.92901611328125,223.98214721679688,50.502960205078125
2023-06-13,57.73522186279297,174.83226013183594,140.5897979736328,221.23895263671875,50.89623260498047
2023-06-14,58.12681579589844,176.4020233154297,141.9079132080078,221.27857971191406,51.4107666015625
2023-06-15,58.92557144165039,178.8481903076172,143.87533569335938,223.98214721679688,51.69260787963867
2023-06-16,59.34901428222656,179.16600036621094,144.93173217773438,226.69564819335938,50.97160720825195
2023-06-20,58.95444869995117,178.4629669189453,143.59426879882812,224.27926635742188,50.522613525390625
2023-06-21,59.11804962158203,178.57852172851562,144.83482360839844,225.0517120361328,50.62093734741211
2023-06-22,59.522239685058594,180.42759704589844,145.3291015625,226.18067932128906,51.04370880126953
2023-06-23,58.89670944213867,179.19488525390625,143.88502502441406,227.32945251464844,50.948665618896484
2023-06-26,58.91595458984375,178.0584716796875,144.03038024902344,224.11090087890625,50.814300537109375
