Date,BA,BTC-USD,ETH-USD,LTC-USD,NVDA,TSLA,XRP-USD
2023-04-04,213.89999389648438,28168.08984375,1871.005126953125,92.60042572021484,27.439594268798828,192.5800018310547,0.50347900390625
2023-04-05,210.0,28177.984375,1909.114013671875,92.62211608886719,26.867876052856445,185.52000427246094,0.5062350034713745
2023-04-06,211.3699951171875,28044.140625,1872.922607421875,90.92915344238281,27.023799896240234,185.05999755859375,0.5032979846000671
2023-04-10,210.77999877929688,29652.98046875,1911.20751953125,93.82122802734375,27.565534591674805,184.50999450683594,0.5183179974555969
2023-04-11,212.32000732421875,30235.05859375,1892.189697265625,94.31179809570312,27.155738830566406,186.7899932861328,0.5175179839134216
2023-04-12,212.33999633789062,30139.052734375,1920.68212890625,92.50415802001953,26.482067108154297,180.5399932861328,0.5061150193214417
2023-04-13,213.58999633789062,30399.06640625,2012.6346435546875,94.2594985961914,26.450077056884766,185.89999389648438,0.5132920145988464
2023-04-14,201.7100067138672,30485.69921875,2101.635498046875,96.45197296142578,26.74493408203125,185.0,0.5239930152893066
2023-04-17,205.02999877929688,29445.044921875,2076.242919921875,98.67469787597656,26.988819122314453,187.0399932861328,0.5111269950866699
2023-04-18,208.3699951171875,30397.552734375,2104.537353515625,101.8514175415039,27.653491973876953,184.30999755859375,0.532263994216919
2023-04-19,208.7100067138672,28822.6796875,1936.4034423828125,90.44068145751953,27.917362213134766,180.58999633789062,0.4915989935398102
2023-04-20,207.22999572753906,28245.98828125,1943.09765625,90.23965454101562,27.090768814086914,162.99000549316406,0.47485798597335815
2023-04-21,205.14999389648438,27276.91015625,1849.9998779296875,85.51734161376953,27.105758666992188,165.0800018310547,0.449396014213562
2023-04-24,205.77000427246094,27525.33984375,1842.7574462890625,88.40734100341797,27.02879524230957,162.5500030517578,0.4612730145454407
2023-04-25,202.19000244140625,28307.59765625,1866.753662109375,91.10834503173828,26.228187561035156,160.6699981689453,0.46999499201774597
2023-04-26,203.02999877929688,28422.701171875,1866.564208984375,88.25418853759766,26.942838668823242,153.75,0.46203699707984924
2023-04-27,206.0399932861328,29473.787109375,1908.786376953125,89.68881225585938,27.212705612182617,160.19000244140625,0.46686801314353943
