Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-04-05,162.48182678222656,210.0,481.0954895019531,307.9785461425781,49.055843353271484,225.5231170654297,48.8654899597168
2023-04-06,163.37481689453125,211.3699951171875,470.3050842285156,308.8119201660156,48.010860443115234,223.36842346191406,49.23442840576172
2023-04-10,160.7653350830078,210.77999877929688,477.9018859863281,311.2640075683594,48.41724395751953,223.80332946777344,49.139739990234375
2023-04-11,159.54493713378906,212.32000732421875,482.5664367675781,313.57244873046875,49.481571197509766,225.79989624023438,48.996089935302734
2023-04-12,158.85040283203125,212.33999633789062,473.56640625,316.3214416503906,50.294334411621094,225.1673126220703,48.757747650146484
2023-04-13,164.26779174804688,213.58999633789062,481.83099365234375,318.1318054199219,50.20724868774414,229.99070739746094,48.80672836303711
2023-04-14,163.92051696777344,201.7100067138672,475.45355224609375,322.7199401855469,50.77812194824219,231.30526733398438,48.47697067260742
2023-04-17,163.9403533935547,205.02999877929688,478.00836181640625,325.36358642578125,50.37173843383789,230.7715301513672,48.8165168762207
2023-04-18,165.1707000732422,208.3699951171875,480.8728942871094,319.8367919921875,50.47816848754883,230.89015197753906,48.92426300048828
2023-04-19,166.32162475585938,208.7100067138672,480.03094482421875,322.69122314453125,50.92325210571289,229.8720703125,48.976497650146484
2023-04-20,165.34925842285156,207.22999572753906,489.27288818359375,324.43450927734375,50.2846565246582,231.87857055664062,49.28992462158203
2023-04-21,163.7320098876953,205.14999389648438,490.01812744140625,327.2601623535156,48.185028076171875,231.3349151611328,49.538055419921875
2023-04-24,164.0395965576172,205.77000427246094,494.924560546875,329.46319580078125,48.59140396118164,230.05987548828125,49.87433624267578
2023-04-25,162.49176025390625,202.19000244140625,486.940673828125,325.17205810546875,47.37226486206055,226.92665100097656,49.48582077026367
2023-04-26,162.48182678222656,203.02999877929688,478.7051086425781,322.3751220703125,46.230533599853516,225.5033721923828,49.27033996582031
2023-04-27,167.09552001953125,206.0399932861328,485.1018981933594,327.2027282714844,46.404693603515625,226.35337829589844,49.42378616333008
2023-04-28,168.3556365966797,206.77999877929688,486.9890441894531,328.9651184082031,47.74961853027344,230.0302276611328,49.28992462158203
2023-05-01,168.26632690429688,203.8699951171875,477.6696472167969,326.216064453125,47.55610656738281,229.8127899169922,49.49234390258789
2023-05-02,167.2245330810547,203.25,478.8503112792969,319.3195495605469,44.68241882324219,224.346923828125,49.358489990234375
2023-05-03,166.14303588867188,200.92999267578125,474.2535095214844,314.7984619140625,43.80192565917969,223.3585205078125,49.1756591796875
2023-05-04,164.4959716796875,197.0500030517578,475.51422119140625,307.7199401855469,43.60841369628906,222.98294067382812,49.313297271728516
2023-05-05,172.2152862548828,198.33999633789062,483.9705505371094,313.2371826171875,44.2663688659668,229.0912322998047,49.73934555053711
2023-05-08,172.1457977294922,197.25999450683594,483.9705505371094,312.7486572265625,45.09847640991211,229.53604125976562,50.05069351196289
2023-05-09,170.4293212890625,201.8800048828125,485.64825439453125,311.08197021484375,45.64031219482422,230.55409240722656,50.13589859008789
2023-05-10,172.20533752441406,200.83999633789062,484.55242919921875,308.9555358886719,44.372798919677734,228.587158203125,49.99497985839844
2023-05-11,172.3938446044922,201.83999633789062,486.7149963378906,307.20269775390625,42.70857238769531,228.77532958984375,50.18178176879883
2023-05-12,171.45989990234375,200.6999969482422,488.8291015625,306.03411865234375,42.64084243774414,229.14175415039062,50.165401458740234
2023-05-15,170.963134765625,202.77000427246094,486.8604431152344,308.4958190917969,43.153656005859375,230.55789184570312,49.77539825439453
2023-05-16,170.963134765625,200.8699951171875,481.1485290527344,307.2889099121094,41.84743881225586,228.24057006835938,49.087162017822266
2023-05-17,171.5791473388672,206.8699951171875,480.0332946777344,316.2640075683594,43.05690002441406,230.39947509765625,49.0052375793457
2023-05-18,173.9239501953125,207.24000549316406,483.03961181640625,315.6892395019531,43.395545959472656,231.34027099609375,49.64103317260742
2023-05-19,174.0332489013672,205.49000549316406,481.50738525390625,312.4038391113281,43.80192565917969,231.05308532714844,49.1297721862793
2023-05-22,173.0794219970703,205.91000366210938,476.9979553222656,311.2257385253906,44.50825500488281,229.04270935058594,48.69717025756836
2023-05-23,170.45640563964844,202.60000610351562,470.2095947265625,309.9325866699219,44.566314697265625,222.40753173828125,48.60540771484375
2023-05-24,170.73458862304688,199.27000427246094,468.16339111328125,306.33111572265625,44.730804443359375,220.10008239746094,48.38255310058594
2023-05-25,171.877197265625,200.8699951171875,471.8387451171875,310.2295227050781,43.695499420166016,221.21914672851562,47.900794982910156
2023-05-26,174.30149841308594,203.6300048828125,491.9226379394531,318.01690673828125,43.03754806518555,222.83335876464844,47.986000061035156
2023-05-30,176.1594696044922,204.69000244140625,492.6693115234375,316.8865966796875,42.87306594848633,219.49598693847656,47.868019104003906
2023-05-31,176.10980224609375,205.6999969482422,496.0926208496094,312.61102294921875,41.44105911254883,218.89187622070312,48.133480072021484
2023-06-01,178.9315185546875,207.9600067138672,497.10113525390625,305.37237548828125,43.52133560180664,224.30894470214844,48.31045150756836
2023-06-02,179.78598022460938,213.32000732421875,497.09149169921875,312.36968994140625,45.253292083740234,226.57679748535156,48.77254867553711
2023-06-05,178.42481994628906,208.77999877929688,502.5802917480469,310.5938415527344,44.721126556396484,224.57635498046875,49.093719482421875
2023-06-06,178.05718994140625,207.2899932861328,500.6505432128906,315.409912109375,45.674503326416016,226.0123291015625,49.087162017822266
2023-06-07,176.67613220214844,211.92999267578125,495.7725524902344,324.0480041503906,46.822444915771484,223.0908660888672,49.15926742553711
2023-06-08,179.40846252441406,218.11000061035156,504.3647155761719,323.77777099609375,46.16091537475586,220.892333984375,49.87044143676758
2023-06-09,179.79591369628906,217.30999755859375,501.6396484375,324.30853271484375,46.238746643066406,221.3973846435547,50.17194747924805
2023-06-12,182.60772705078125,221.55999755859375,505.2181396484375,327.6575927734375,45.74259948730469,223.98214721679688,50.502960205078125
2023-06-13,182.1308135986328,220.3800048828125,506.2362976074219,330.562744140625,46.65705871582031,221.23895263671875,50.89623260498047
2023-06-14,182.76670837402344,216.89999389648438,511.25970458984375,326.62493896484375,45.985809326171875,221.27857971191406,51.4107666015625
2023-06-15,184.81344604492188,219.41000366210938,513.1798095703125,327.8988952636719,46.59869384765625,223.98214721679688,51.69260787963867
2023-06-16,183.73046875,219.99000549316406,507.8171691894531,326.5187683105469,46.48195266723633,226.69564819335938,50.97160339355469
