Date,BAC,COST,CVX,MRNA,NVDA,PFE,XRP-USD
2021-04-20,34.89400863647461,354.72589111328125,87.82760620117188,156.77999877929688,15.139110565185547,33.66697311401367,1.3832989931106567
2021-04-21,35.480464935302734,356.9779052734375,89.04105377197266,169.5,15.327957153320312,34.0982666015625,1.2964979410171509
2021-04-22,35.15058135986328,354.2773742675781,87.49824523925781,168.10000610351562,14.818790435791016,33.330562591552734,1.159682035446167
2021-04-23,35.901981353759766,356.2049865722656,88.01829528808594,173.6300048828125,15.23291015625,33.347808837890625,1.169659972190857
2021-04-26,36.11273193359375,351.6627502441406,87.99227905273438,177.61000061035156,15.445211410522461,33.36507034301758,1.3685059547424316
2021-04-27,36.54341506958008,353.2754211425781,89.01505279541016,183.41000366210938,15.349162101745605,33.16667175292969,1.4009549617767334
2021-04-28,36.68086242675781,352.6838073730469,91.19924926757812,178.67999267578125,15.244386672973633,33.47720718383789,1.3586009740829468
2021-04-29,37.67049789428711,357.2166748046875,92.65538024902344,175.6699981689453,15.29228401184082,33.296051025390625,1.399359941482544
2021-04-30,37.1390266418457,355.8299560546875,89.33573913574219,178.82000732421875,14.977701187133789,33.339195251464844,1.5916739702224731
2021-05-03,37.16651916503906,362.7440490722656,91.46794891357422,186.02000427246094,14.805316925048828,34.357051849365234,1.555994987487793
2021-05-04,37.5697021484375,358.8901672363281,91.97066497802734,173.58999633789062,14.320845603942871,34.4605598449707,1.3923759460449219
2021-05-05,37.92707443237305,356.2220764160156,94.44088745117188,162.83999633789062,14.42786979675293,34.47780990600586,1.6145119667053223
2021-05-06,38.495201110839844,366.03375244140625,94.4928970336914,160.5,14.492233276367188,34.13808059692383,1.6005810499191284
2021-05-07,38.65098571777344,367.5255432128906,95.35964965820312,163.14999389648438,14.780872344970703,34.47780990600586,1.5817550420761108
2021-05-10,38.5318603515625,364.8096618652344,94.9696044921875,158.5500030517578,14.235528945922852,34.721717834472656,1.3890060186386108
2021-05-11,38.09201431274414,361.65386962890625,92.4820327758789,158.99000549316406,14.27593994140625,34.277462005615234,1.4776819944381714
2021-05-12,37.734642028808594,355.93524169921875,93.06275939941406,152.67999267578125,13.729353904724121,34.573631286621094,1.247864007949829
2021-05-13,38.33942413330078,362.94482421875,92.4646987915039,149.8699951171875,13.636301040649414,34.93077850341797,1.3589099645614624
2021-05-14,38.81591796875,367.6211853027344,94.88292694091797,161.3800048828125,14.212825775146484,34.86109924316406,1.4029170274734497
2021-05-17,39.164127349853516,367.1812744140625,96.04438781738281,160.42999267578125,14.135489463806152,34.939491271972656,1.4962999820709229
2021-05-18,38.63264846801758,366.08154296875,93.15787506103516,159.52999877929688,13.986058235168457,34.88722610473633,1.5907340049743652
2021-05-19,38.45854949951172,363.0692138671875,90.5433349609375,157.99000549316406,14.0359525680542,34.695579528808594,1.0703129768371582
2021-05-20,38.36691665649414,366.8179016113281,90.85918426513672,165.97000122070312,14.581543922424316,34.94820022583008,1.1855369806289673
2021-05-21,38.852569580078125,364.08282470703125,91.35051727294922,161.4499969482422,14.959989547729492,34.80011749267578,1.0069760084152222
2021-05-24,39.063331604003906,366.69354248046875,92.64899444580078,164.1699981689453,15.578927040100098,34.67816162109375,0.9928349852561951
2021-05-25,38.495201110839844,368.5392761230469,91.13117980957031,169.25999450683594,15.614598274230957,34.260040283203125,0.976186990737915
2021-05-26,38.52269744873047,368.76873779296875,91.35051727294922,175.58999633789062,15.666739463806152,33.902896881103516,1.0337250232696533
2021-05-27,38.990020751953125,370.56658935546875,90.37663269042969,179.5399932861328,15.455188751220703,33.66770553588867,0.9702349901199341
